XCOLLAR,YCOLLAR,ZCOLLAR,AU
40529308.99,4109618.01,-535.0,0.5602467646240458
40529458.8,4109845.909,-525.0,2.2211285605084266
40529538.34,4109968.659,-555.0,5.758471877239447
40529527.28,4109977.404,-488.0,1.1415513526624235
40529339.53,4109767.119,-498.0,3.0019100864264003
40529309.7,4109617.303,-535.0,0.5838610847816393
40529412.33,4109702.667,-555.0,2.7497208071630386
40529454.71,4109849.106,-498.0,0.19578876096232872
40529507.52,4109881.364,-535.0,0.9945092715407093
40529432.16,4109782.236,-525.0,0.0921903404255352
40529541.08,4109970.824,-469.0,3.562028473267244
40529502.71,4109861.601,-555.0,1.4197430827042843
40529487.65,4109851.154,-535.0,1.5743254519119525
40529470.04,4109873.96,-498.0,0.2912497671232774
40529439.72,4109780.323,-506.0,1.0788887542147616
40529377.41,4109790.792,-478.0,1.8441102625709842
40529459.07,4109856.602,-555.0,1.4200847342492982
40529486.34,4109914.748,-478.0,1.4604970594712952
40529343.84,4109746.569,-478.0,0.30913994217604224
40529366.3,4109686.235,-555.0,6.270272290004037
40529355.04,4109641.821,-545.0,1.4924304440608334
40529499.93,4109900.894,-525.0,0.6496619332976787
40529556.24,4109983.794,-488.0,0.28906372549725873
40529519.26,4109862.168,-545.0,3.2098112829435888
40529297.1,4109592.114,-535.0,1.5357012612575198
40529467.18,4109762.956,-555.0,5.535308792591945
40529491.28,4109893.912,-478.0,4.936114012193751
40529517.6,4109946.237,-498.0,5.658847659465262
40529467.98,4109783.7,-506.0,5.080530795438664
40529448.23,4109823.997,-478.0,2.553376270583241
40529604.66,4109968.37,-525.0,0.37901123678666415
40529566.73,4109984.096,-488.0,0.3307050695719552
40529448.68,4109800.766,-535.0,2.680934280294204
40529340.13,4109632.56,-535.0,1.9607720771979746
40529527.03,4109976.11,-498.0,2.227078208832083
40529472.2,4109878.208,-488.0,0.26188632174677506
40529478.43,4109921.51,-525.0,0.48121685368978534
40529473.87,4109790.429,-565.0,1.9104282778847057
40529296.45,4109592.546,-555.0,0.4255296018830036
40529434.25,4109806.433,-498.0,2.2890188344322056
40529484.39,4109907.091,-469.0,0.12089671656326022
40529421.81,4109823.256,-545.0,4.204357498446413
40529401.05,4109786.103,-488.0,4.116674796020175
40529443.96,4109758.079,-555.0,0.5324555332539126
40529490.85,4109825.308,-535.0,1.7581103991075104
40529499.97,4109882.459,-545.0,0.6913844430080947
40529289.65,4109576.36,-525.0,0.7870561676177531
40529403.65,4109683.36,-545.0,0.7331591638424282
40529585.07,4110016.566,-525.0,0.13197031449379273
40529376.09,4109775.91,-498.0,0.2673855181395405
40529571.07,4109922.137,-565.0,0.41833538507958395
40529285.11,4109576.889,-535.0,0.4484212045896539
40529436.63,4109795.33,-498.0,0.5514420446560441
40529389.89,4109815.551,-478.0,3.4768675452275737
40529498.14,4109921.265,-545.0,0.7889145807811216
40529537.53,4110015.634,-488.0,0.23653919218276453
40529369.29,4109755.566,-478.0,2.744294525927704
40529345.32,4109661.852,-525.0,3.881744572949748
40529472.33,4109907.621,-555.0,0.7306697879022666
40529540.81,4110011.86,-488.0,0.2761856852452542
40529476.56,4109886.238,-469.0,0.2818925398666246
40529377.91,4109668.931,-545.0,3.699613123353507
40529450.91,4109750.492,-545.0,5.4879537092374004
40529494.66,4109890.365,-478.0,0.35585094824359126
40529336.86,4109601.525,-545.0,2.783588200786022
40529483.39,4109867.811,-525.0,1.3311869289500264
40529435.99,4109761.67,-565.0,1.6369903680665165
40529385.23,4109778.132,-488.0,1.8775458848570736
40529452.42,4109814.383,-488.0,4.418786162419381
40529529.9,4109904.96,-545.0,0.5014996270549502
40529562.17,4109982.036,-469.0,0.3700175864780628
40529361.34,4109761.486,-488.0,0.25253665819823734
40529527.43,4109961.745,-565.0,1.0412646088249013
40529565.96,4109952.079,-498.0,1.3443446016880147
40529335.7,4109577.303,-555.0,1.563019697758624
40529479.43,4109855.51,-517.0,2.2308834574344254
40529549.3,4109920.49,-545.0,0.1801580007020533
40529525.24,4109963.791,-565.0,2.4902639979472756
